title,score,rank,popularity,num_list_users,num_scoring_users,num_favorites,rank_favorites
One Piece,8.72,58,17,2459987,1396745,230821,1
Fullmetal Alchemist: Brotherhood,9.1,3,3,3446066,2174841,229949,2
Hunter x Hunter (2011),9.03,9,8,2942025,1826884,215928,3
Steins;Gate,9.07,4,14,2640370,1435760,192667,4
Death Note,8.62,88,2,4019411,2819319,176851,5
Shingeki no Kyojin,8.55,117,1,4070560,2874256,176089,6
Naruto: Shippuuden,8.27,312,16,2565938,1707668,114513,7
Code Geass: Hangyaku no Lelouch,8.7,64,22,2317593,1435782,110665,8
Shinseiki Evangelion,8.35,226,45,1881255,1124157,109387,9
Jujutsu Kaisen,8.57,106,13,2705779,1774636,92800,10
Kimetsu no Yaiba,8.45,163,5,3164143,2176425,92031,11
Kimi no Na wa.,8.83,29,11,2831868,1957047,91959,12
Koe no Katachi,8.93,19,20,2417107,1668544,90265,13
Shigatsu wa Kimi no Uso,8.64,82,24,2275209,1384472,86868,14
Cowboy Bebop,8.75,47,43,1925540,994434,84622,15
Naruto,8,664,9,2933786,2022934,81500,16
Tengen Toppa Gurren Lagann,8.63,85,66,1657545,920880,79930,17
Code Geass: Hangyaku no Lelouch R2,8.91,21,47,1833346,1224692,77161,18
Bleach,7.96,712,36,2044600,1170946,76525,19
Haikyuu!!,8.44,171,37,2038188,1266645,75221,20
Clannad: After Story,8.93,17,120,1221075,671906,70931,21
Re:Zero kara Hajimeru Isekai Seikatsu,8.23,347,23,2277576,1456272,69642,22
Sword Art Online,7.21,3263,6,3148932,2190267,69027,23
One Punch Man,8.49,147,4,3315716,2293150,65103,24
Violet Evergarden,8.68,69,46,1849846,1010588,63768,25
Shingeki no Kyojin Season 3 Part 2,9.05,5,21,2373295,1647839,59973,26
Gintama,8.93,18,144,1093920,404798,59777,27
Sousou no Frieren,9.32,1,181,960355,550924,57613,28
Toradora!,8.05,590,25,2257608,1410354,57185,29
Mahou Shoujo Madokaâ˜…Magica,8.37,218,104,1327594,773232,56722,30
Monster,8.88,25,126,1185584,447193,55,31
Boku no Hero Academia,7.85,918,7,3112053,2119170,665,32
Shingeki no Kyojin: The Final Season,8.78,37,33,2089400,1386180,53748,33
Tokyo Ghoul,7.79,1044,10,2894118,1906269,52657,34
Vinland Saga,8.76,44,72,1609402,929218,50904,35
Mob Psycho 100,8.49,146,29,2155398,1321938,50454,36
Bakemonogatari,8.32,256,94,1432168,745000,50242,37
Boku dake ga Inai Machi,8.3,271,28,2157122,1398566,49712,38
Chainsaw Man,8.47,151,69,1649731,924909,49147,39
Angel Beats!,8.05,593,31,2116090,1303854,49088,40
No Game No Life,8.05,587,19,2452659,1567232,48928,41
Black Clover,8.14,468,57,1744297,893629,48026,42
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.23,348,52,1802496,1141084,47912,43
Fairy Tail,7.57,1661,54,1778184,1028820,47841,44
Kono Subarashii Sekai ni Shukufuku wo!,8.1,514,38,2029451,1312169,46890,45
Made in Abyss,8.64,80,92,1437136,777322,46067,46
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,140,128,1166584,805090,45355,47
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,193,51,1802958,1132613,40702,48
Spy x Family,8.49,143,64,1668634,1022600,40448,49
Dragon Ball Z,8.19,397,114,1259558,864603,39821,50
